L: x=0.557 y=0.537 | R: x=0.465 y=0.530 | RAW: x=0.511 y=0.534 | NORM: x=0.514 y=0.542
L: x=0.531 y=0.508 | R: x=0.452 y=0.503 | RAW: x=0.491 y=0.506 | NORM: x=0.489 y=0.507
L: x=0.566 y=0.647 | R: x=0.436 y=0.638 | RAW: x=0.501 y=0.642 | NORM: x=0.501 y=0.678
L: x=0.542 y=0.543 | R: x=0.450 y=0.535 | RAW: x=0.496 y=0.539 | NORM: x=0.495 y=0.548
L: x=0.599 y=0.597 | R: x=0.521 y=0.594 | RAW: x=0.560 y=0.595 | NORM: x=0.575 y=0.619
L: x=0.496 y=0.552 | R: x=0.396 y=0.542 | RAW: x=0.446 y=0.547 | NORM: x=0.433 y=0.559
L: x=0.500 y=0.581 | R: x=0.401 y=0.578 | RAW: x=0.450 y=0.580 | NORM: x=0.438 y=0.600
L: x=0.612 y=0.677 | R: x=0.488 y=0.657 | RAW: x=0.550 y=0.667 | NORM: x=0.563 y=0.709
L: x=0.546 y=0.974 | R: x=0.469 y=0.894 | RAW: x=0.508 y=0.934 | NORM: x=0.510 y=1.000
L: x=0.549 y=0.529 | R: x=0.465 y=0.529 | RAW: x=0.507 y=0.529 | NORM: x=0.509 y=0.536
L: x=0.556 y=0.596 | R: x=0.455 y=0.587 | RAW: x=0.506 y=0.591 | NORM: x=0.507 y=0.614
L: x=0.589 y=0.548 | R: x=0.497 y=0.544 | RAW: x=0.543 y=0.546 | NORM: x=0.554 y=0.558
L: x=0.496 y=0.593 | R: x=0.389 y=0.588 | RAW: x=0.443 y=0.590 | NORM: x=0.428 y=0.613
L: x=0.576 y=0.532 | R: x=0.494 y=0.523 | RAW: x=0.535 y=0.528 | NORM: x=0.544 y=0.535
L: x=0.556 y=0.574 | R: x=0.453 y=0.566 | RAW: x=0.505 y=0.570 | NORM: x=0.506 y=0.588
L: x=0.540 y=0.655 | R: x=0.433 y=0.655 | RAW: x=0.486 y=0.655 | NORM: x=0.483 y=0.694
L: x=0.526 y=0.491 | R: x=0.455 y=0.486 | RAW: x=0.491 y=0.489 | NORM: x=0.488 y=0.486
L: x=0.606 y=0.663 | R: x=0.474 y=0.659 | RAW: x=0.540 y=0.661 | NORM: x=0.550 y=0.701
